code,name,id,dis,typeTags,referencesTags,isAnalytics,kind,roots,unit
ACPFB,Power Factor Phase B,"ACPFB or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ACPFB-1, ACPFB-2, etc.","Power Factor Phase B or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Power Factor Phase B-1, Power Factor Phase B-2, etc.",ac|elec|pf|phase|sensor,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,EM,Power Factor
ACPFC,Power Factor Phase C,"ACPFC or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ACPFC-1, ACPFC-2, etc.","Power Factor Phase C or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Power Factor Phase C-1, Power Factor Phase C-2, etc.",ac|elec|pf|phase|sensor,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,EM,Power Factor
ACSLVL,Acoustic Level,Defines the unique identifier of an entity in system using a Ref value type,"Acoustic Level Sensor or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Acoustic Level Sensor-1, Acoustic Level Sensor-2, etc.",acoustic|sensor,equipRef|deviceRef,FALSE,Number,EQS,db
ACV,Single Phase AC Voltage Sensor,"ACV or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ACV-1, ACV-2, etc.","AC Voltage or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : AC Voltage-1, AC Voltage-2, etc.",ac|elec|magnitude|sensor|volt,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,PDU|EM|UPS,Electric Potential
ACVA,AC Voltage Phase A,"ACVA or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ACVA-1, ACVA-2, etc.","AC Voltage Phase A or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : AC Voltage Phase A-1, AC Voltage Phase A-2, etc.",ac|elec|phase|magnitude|sensor|volt,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,PDU|EM|UPS,Electric Potential
ACVAB,AC Voltage Phase AB,"ACVAB or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ACVAB-1, ACVAB-2, etc.","AC Voltage Phase AB or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : AC Voltage Phase AB-1, AC Voltage Phase AB-2, etc.",ac|elec|phase|magnitude|sensor|volt,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,PDU|EM|UPS,Electric Potential
ACVAVG,Average AC Voltage,"ACVAVG or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ACVAVG-1, ACVAVG-2, etc.","Average AC Voltage or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Average AC Voltage-1, Average AC Voltage-2, etc.",ac|avg|elec|magnitude|sensor|volt,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,EM,Electric Potential
ACVB,AC Voltage Phase B,"ACVB or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ACVB-1, ACVB-2, etc.","AC Voltage Phase B or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : AC Voltage Phase B-1, AC Voltage Phase B-2, etc.",ac|elec|phase|magnitude|sensor|volt,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,PDU|EM|UPS,Electric Potential
ACVBC,AC Voltage Phase BC,"ACVBC or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ACVBC-1, ACVBC-2, etc.","AC Voltage Phase BC or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : AC Voltage Phase BC-1, AC Voltage Phase BC-2, etc.",ac|elec|phase|magnitude|sensor|volt,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,PDU|EM|UPS,Electric Potential
ACVC,AC Voltage Phase C,"ACVC or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ACVC-1, ACVC-2, etc.","AC Voltage Phase C or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : AC Voltage Phase C-1, AC Voltage Phase C-2, etc.",ac|elec|phase|magnitude|sensor|volt,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,PDU|EM|UPS,Electric Potential
ACVCA,AC Voltage Phase CA,"ACVCA or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ACVCA-1, ACVCA-2, etc.","AC Voltage Phase CA or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : AC Voltage Phase CA-1, AC Voltage Phase CA-2, etc.",ac|elec|phase|magnitude|sensor|volt,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,PDU|EM|UPS,Electric Potential
ADFBK,Air Damper Feedback,"ADFBK or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ADFBK-1, ADFBK-2, etc.","Air Damper Feedback or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Air Damper Feedback-1, Air Damper Feedback-2, etc.",air|damper|sensor,,FALSE,Number,,
ALRMPT,Alarm Point,,<NAME> + - + <INTEGER>,alarm|sensor,equipRef|deviceRef,FALSE,Bool,AP|ATS|GEN|FAN|MAU|VRFOUACHP|VRFOUACHR|VRFOUWCHP|VRFOUWCHR|HWB|HWBISOV|SB|CSG|FCUVRFZC|BCP|BFWP|CWP|PCWP|SCWP|CHWP|PCHWP|SCHWP|TCHWP|CNP|CP|HWP|PHWP|SHWP|THWP|SEPP|ENV|FAP|FP|BSP|RCP|SEP|SMPP|VFD,
ALRMPTCD,Alarm Point Code,,<NAME> + - + <INTEGER>,alarm|text,equipRef|deviceRef,FALSE,Str,HWB|HWBISOV|SB|CSG|VFD,
APPENE,Apparent Energy,"APPENE or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : APPENE-1, APPENE-2, etc.","Apparent Energy or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Apparent Energy-1, Apparent Energy-2, etc.",ac|apparent|elec|energy|sensor|total,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,PDU|EM|UPS,Apparent Energy
APPPWR,Apparent Power,"APPPWR or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : APPPWR-1, APPPWR-2, etc.","Apparent Power or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Apparent Power-1, Apparent Power-2, etc.",ac|apparent|elec|power|sensor|total,equipRef|deviceRef|siteRef|spaceRef,TRUE,Number,PDU|EM|UPS,Apparent Power
ASNLNDCALL,Assigned Landing Calls,"ASNLNDCALL or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : ASNLNDCALL-1, ASNLNDCALL-2, etc.","Assigned Landing Call or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Assigned Landing Call-1, Assigned Landing Call-2, etc.",landing|cmd|call,equipRef,FALSE,,ELV,
BAHTST,Basin Heat Status,,<NAME> + - + <INTEGER>,basin|heat|sensor,equipRef,FALSE,Bool,CT,
BATLLST,Battery Level Low Fault Status,,<NAME> + - + <INTEGER>,battery|level|low|fault|sensor,equipRef|deviceRef,FALSE,Bool,TPDSP|PTDSP|SPDSP,
BATST,Battery Status,Defines the unique identifier of an entity in system using a Ref value type,<NAME> + - + <INTEGER>,battery|sensor,deviceRef,FALSE,Bool,MOS|OCCPS|LNPCS|ZPCS|ATPS|AHMS|AQS|GDS|WDS|EQS,
BCPSSCMD,Boiler Circulation Pump Run Command,<ABBREVIATION> + <INTEGER> - e.g. BCPSSCMD1 or BCPSSCMD270,<ABBREVIATION> + - + <INTEGER> - e.g. BCPSSCMD-1 or BCPSSCMD-272,circ|hot|water|run|pump|cmd,deviceRef|equipRef,TRUE,Bool,,
BCPSSST,Boiler Circulation Pump Run Status,<ABBREVIATION> + <INTEGER> - e.g. BCPSSST1 or BCPSSST270,<ABBREVIATION> + - + <INTEGER> - e.g. BCPSSST-1 or BCPSSST-272,circ|hot|water|pump|state|run|sensor,deviceRef|equipRef,FALSE,Bool,,
BLDSPR,Bldg Static Pressure,"BLDSPR or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : BLDSPR-1, BLDSPR-2, etc.","Bldg Static Pressure or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Bldg Static Pressure-1, Bldg Static Pressure-2, etc.",return|air|pressure|sensor,equipRef,FALSE,Number,ACU|AHU|DOAS|RTU,pressure
BLDSPRSP,Bldg Static Pressure Setpoint,"BLDSPRSP or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : BLDSPRSP-1, BLDSPRSP-2, etc.","Bldg Static Pressure Setpoint or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Bldg Static Pressure Setpoint-1, Bldg Static Pressure Setpoint-2, etc.",return|air|pressure|sp,equipRef,FALSE,Number,ACU|AHU|DOAS|RTU,pressure
BSWPSSCMD,Basin Sweeper Pump Run Command,<ABBREVIATION> + <INTEGER> - e.g. BSWPSSCMD1 or BSWPSSCMD270,<ABBREVIATION> + - + <INTEGER> - e.g. BSWPSSCMD-1 or BSWPSSCMD-272,basinSweeper|separator|water|run|pump|cmd,deviceRef|equipRef,TRUE,Bool,,
BSWPSSST,Basin Sweeper Pump Run Status,<ABBREVIATION> + <INTEGER> - e.g. BSWPSSST1 or BSWPSSST270,<ABBREVIATION> + - + <INTEGER> - e.g. BSWPSSST-1 or BSWPSSST-272,basinSweeper|separator|water|pump|state|run|sensor,deviceRef|equipRef,FALSE,Bool,,
BYPCHWFL,Bypass Chilled Water Flow,,<NAME> + - + <INTEGER>,chilled|bypass|water|flow|sensor,equipRef|deviceRef,FALSE,Number,,volumetric flow
BYPDCMD,Bypass Damper Command,"BYPDCMD or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : BYPDCMD-1, BYPDCMD-2, etc.","Bypass Damper Command or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Bypass Damper Command-1, Bypass Damper Command-2, etc.",air|bypass|damper|cmd,equipRef,FALSE,Number,AHU|RTU,percentage
CARDIR,Car Moving Direction,"CARDIR or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CARDIR-1, CARDIR-2, etc.","Car Moving Direction or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Car Moving Direction-1, Car Moving Direction-2, etc.",car|direction|sensor,siteRef|deviceRef|equipRef|spaceRef,TRUE,Str,ELV,
CARDIRCMD,Car Assigned Direction,"CARDIRCMD or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CARDIRCMD-1, CARDIRCMD-2, etc.","Car Assigned Direction or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Car Assigned Direction-1, Car Assigned Direction-2, etc.",car|direction|cmd,siteRef|deviceRef|equipRef|spaceRef,TRUE,Str,ELV,
CARDRST,Car Door Status,"CARDRST or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CARDRST-1, CARDRST-2, etc.","Car Door Status or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Car Door Status-1, Car Door Status-2, etc.",car|door|state|sensor,equipRef,FALSE,Str,ELV,
CARDRVST,Car Drive Status,"CARDRVST or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CARDRVST-1, CARDRVST-2, etc.","Car Drive Status or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Car Drive Status-1, Car Drive Status-2, etc.",car|drive|state|sensor,equipRef,FALSE,Str,ELV,
CARLD,Car Load,"CARLD or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CARLD-1, CARLD-2, etc.","Car Load or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Car Load-1, Car Load-2, etc.",car|load|sensor,siteRef|deviceRef|equipRef|spaceRef,TRUE,Number,ELV,
CARMD,Car Mode,"CARMD or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CARMD-1, CARMD-2, etc.","Car Mode or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Car Mode-1, Car Mode-2, etc.",car|mode|sp,,FALSE,Str,ELV,
CARNXTPOS,Next Stopping Floor,"CARNXTPOS or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CARNXTPOS-1, CARNXTPOS-2, etc.","Next Stopping Floor or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Next Stopping Floor-1, Next Stopping Floor-2, etc.",car|position|next|sensor,siteRef|deviceRef|equipRef|spaceRef,TRUE,Number,ELV,
CARPOS,Car Position,"CARPOS or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CARPOS-1, CARPOS-2, etc.","Car Position or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Car Position-1, Car Position-2, etc.",car|position|sensor,siteRef|deviceRef|equipRef|spaceRef,TRUE,Number,ELV,
CCDAT,Cooling Coil Discharge Air Temperature,"CCDAT or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CCDAT-1, CCDAT-2, etc.","Cooling Coil Discharge Air Temperature or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Cooling Coil Discharge Air Temperature-1, Cooling Coil Discharge Air Temperature-2, etc.",coolingCoil|discharge|air|temp|sensor,deviceRef|equipRef|dischargeEquipRef|inletEquipRef,TRUE,Number,DOAS|MAU,temperature
CDAFLW,Cold Deck Air Flow,,<NAME> + - + <INTEGER>,coldDeck|air|flow|sensor,deviceRef|equipRef|dischargeEquipRef|inletEquipRef,TRUE,Number,,volumetric flow
CDDAT,Cold Deck Discharge Air Temperature,"DAT or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : DAT-1, DAT-2, etc.",<NAME> + - + <INTEGER>,coldDeck|discharge|air|temp|sensor,deviceRef|equipRef|dischargeEquipRef|inletEquipRef,TRUE,Number,,temperature
CDDATSP,Cold Deck Discharge Air Temperature Setpoint,"CDDATSP or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CDDATSP-1, CDDATSP-2, etc.","Cold Deck Discharge Air Temperature Setpoint or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Cold Deck Discharge Air Temperature Setpoint-1, Cold Deck Discharge Air Temperature Setpoint-2, etc.",coldDeck|discharge|effective|air|temp|sp,equipRef,FALSE,Number,,temperature
CDDCMD,Cold Deck Damper Command,"CDDCMD or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CDDCMD-1, CDDCMD-2, etc.","Cold Deck Damper Command or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Cold Deck Damper Command-1, Cold Deck Damper Command-2, etc.",coldDeck|air|damper|cmd,equipRef,FALSE,Number,,percentage
CHWBYPVCMD,Chilled Water Bypass Valve Command,"CHWBYPVCMD or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CHWBYPVCMD-1, CHWBYPVCMD-2, etc.","Chilled Water Bypass Valve Command or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Chilled Water Bypass Valve Command-1, Chilled Water Bypass Valve Command-2, etc.",bypass|chilled|water|valve|cmd,equipRef,FALSE,Number,,
CHWBYPVFBK,Chilled Water Bypass Valve Position Feedback,"CHWBYPVFBK or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CHWBYPVFBK-1, CHWBYPVFBK-2, etc.","Chilled Water Bypass Valve Position Feedback or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Chilled Water Bypass Valve Position Feedback-1, Chilled Water Bypass Valve Position Feedback-2, etc.",bypass|chilled|water|valve|sensor,equipRef,FALSE,Number,,
CHWDPR,Chilled Water Differential Pressure,,"Chilled Water Differential Pressure or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Chilled Water Differential Pressure-1, Chilled Water Differential Pressure-2, etc.",chilled|water|delta|pressure|sensor,equipRef|deviceRef,FALSE,Number,CH,pressure
CHWDPRSP,Chilled Water Differential Pressure Setpoint,,"Chilled Water Differential Pressure Setpoint or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Chilled Water Differential Pressure Setpoint-1, Chilled Water Differential Pressure Setpoint-2, etc.",chilled|water|delta|pressure|sp,equipRef|deviceRef,FALSE,Number,CHWPL,pressure
CHWFLWMNSP,Chilled Water Minimum Flow Setpoint,"CHWFLWMNSP or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CHWFLWMNSP-1, CHWFLWMNSP-2, etc.","Chilled Water Minimum Flow Setpoint or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Chilled Water Minimum Flow Setpoint-1, Chilled Water Minimum Flow Setpoint-2, etc.",min|chilled|water|flow|sp,equipRef|deviceRef,FALSE,Number,,volumetric flow
CHWISOVCMD,Chilled Water Isolation Valve Command,"CHWISOVCMD or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CHWISOVCMD-1, CHWISOVCMD-2, etc.","Chw Iso Valve Command or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Chw Iso Valve Command-1, Chw Iso Valve Command-2, etc.",chilled|isolation|water|valve|cmd,equipRef,FALSE,Number,CH,
CHWISOVFBK,Chilled Water Isolation Valve Position Feedback,"CHWISOVFBK or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CHWISOVFBK-1, CHWISOVFBK-2, etc.","Chw Iso Valve Feedback or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Chw Iso Valve Feedback-1, Chw Iso Valve Feedback-2, etc.",chilled|isolation|water|valve|sensor,equipRef,FALSE,Number,,
CHWVCMD,Chilled Water Valve Command,"CHWVCMD or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CHWVCMD-1, CHWVCMD-2, etc.","Chilled Water Valve Command or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Chilled Water Valve Command-1, Chilled Water Valve Command-2, etc.",chilled|cool|water|valve|cmd,equipRef,FALSE,Number,AHU|AHUDFVCO|AHUDFVCOEC|AHUDFVCOECEFV|AHUDFVCOECPH|AHUDFVCOECPHEFV|RTU|CHB|FCU|FCUDACO|FCUZC|FCUZCCO,
CHWVFBK,Chilled Water Valve Position Feedback,"CHWVFBK or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CHWVFBK-1, CHWVFBK-2, etc.","Chilled Water Valve Position Feedback or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Chilled Water Valve Position Feedback-1, Chilled Water Valve Position Feedback-2, etc.",chilled|cool|water|valve|sensor,equipRef,FALSE,Number,,
CLCMD,Cooling Command,"CLCMD or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CLCMD-1, CLCMD-2, etc.","Cooling Command or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Cooling Command-1, Cooling Command-2, etc.",cool|cmd,equipRef,FALSE,Number,ACU|AHUWSHPDZ|AHUWSHP|DOAS|RTU|CHB|HP|HPZC|MAU|FCUZCCOD,percentage
CLDEM,Cooling Demand,"CLDEM or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CLDEM-1, CLDEM-2, etc.","Cooling Demand or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Cooling Demand-1, Cooling Demand-2, etc.",cooling|sensor|load,equipRef,FALSE,Number,AHUWSHPDZ|AHUWSHP|EF|CHB|HP|MAU|FCUDACO|FCUVRFZC|FCUZC|FCUZCCO|FCUZCCOD|VAV|VAVCO|VAVEH|VAVFPS|VAVFPP|VAVPD|VAVPDRH|VAVRH|SAV|SAVCO|SAVRH,percentage
CLREQ,Cooling Requests,"CLREQ or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CLREQ-1, CLREQ-2, etc.","Cooling Requests or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Cooling Requests-1, Cooling Requests-2",cooling|sp|request,equipRef,FALSE,Number,VAVCDAFC|VAVCO|VAVEH|VAVFPS|VAVFPP|VAVRH,
CLSTG1CMD,Cooling Stage 1 Command,"CLSTG1CMD or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CLSTG1CMD-1, CLSTG1CMD-2, etc.","Cooling Stage 1 Command or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Cooling Stage 1 Command-1, Cooling Stage 1 Command-2, etc.",cool|cmd|stage,equipRef,FALSE,Bool,ACU|DOAS|MAU|FCUZCCOD,
CLSTG1STS,Cooling Stage 1 Status,"CLSTG1STS or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CLSTG1STS-1, CLSTG1STS-2, etc.","Cooling Stage 1 Status or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Cooling Stage 1 Status-1, Cooling Stage 1 Status-2, etc.",cool|sensor|stage,equipRef,FALSE,Bool,,
CLSTG2CMD,Cooling Stage 2 Command,"CLSTG2CMD or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CLSTG2CMD-1, CLSTG2CMD-2, etc.","Cooling Stage 2 Command or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Cooling Stage 2 Command-1, Cooling Stage 2 Command-2, etc.",cool|cmd|stage,equipRef,FALSE,Bool,ACU|DOAS|MAU|FCUZCCOD,
CLSTG2STS,Cooling Stage 2 Status,"CLSTG2STS or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CLSTG2STS-1, CLSTG2STS-2, etc.","Cooling Stage 2 Status or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Cooling Stage 2 Status-1, Cooling Stage 2 Status-2, etc.",cool|sensor|stage,equipRef,FALSE,Bool,,
CLSTG3CMD,Cooling Stage 3 Command,"CLSTG3CMD or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CLSTG3CMD-1, CLSTG3CMD-2, etc.","Cooling Stage 3 Command or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Cooling Stage 3 Command-1, Cooling Stage 3 Command-2, etc.",cool|cmd|stage,equipRef,FALSE,Bool,ACU|DOAS|MAU|FCUZCCOD,
CLSTG3STS,Cooling Stage 3 Status,"CLSTG3STS or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CLSTG3STS-1, CLSTG3STS-2, etc.","Cooling Stage 3 Status or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Cooling Stage 3 Status-1, Cooling Stage 3 Status-2, etc.",cool|sensor|stage,equipRef,FALSE,Bool,,
CLSTG4CMD,Cooling Stage 4 Command,"CLSTG4CMD or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CLSTG4CMD-1, CLSTG4CMD-2, etc.","Cooling Stage 4 Command or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Cooling Stage 4 Command-1, Cooling Stage 4 Command-2, etc.",cool|cmd|stage,equipRef,FALSE,Bool,ACU|DOAS|MAU|FCUZCCOD,
CLSTG4STS,Cooling Stage 4 Status,"CLSTG4STS or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CLSTG4STS-1, CLSTG4STS-2, etc.","Cooling Stage 4 Status or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Cooling Stage 4 Status-1, Cooling Stage 4 Status-2, etc.",cool|sensor|stage,equipRef,FALSE,Bool,,
CLSTG5CMD,Cooling Stage 5 Command,"CLSTG5CMD or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CLSTG5CMD-1, CLSTG5CMD-2, etc.","Cooling Stage 5 Command or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Cooling Stage 5 Command-1, Cooling Stage 5 Command-2, etc.",cool|cmd|stage,equipRef,FALSE,Bool,,
CLSTG5STS,Cooling Stage 5 Status,"CLSTG5STS or if more than 1 in the equip/device, use <CODE> + - + <INTEGER>  : CLSTG5STS-1, CLSTG5STS-2, etc.","Cooling Stage 5 Status or if more than 1 in the equip/device, use <NAME> + - + <INTEGER>  : Cooling Stage 5 Status-1, Cooling Stage 5 Status-2, etc.",cool|sensor|stage,equipRef,FALSE,Bool,,
